	precision_0	recall_0	f1_score_0	support_0	precision_1	recall_1	f1_score_1	support_1	f1_score_accuracy	support_accuracy	precision_macro_avg	recall_macro_avg	f1_score_macro_avg	support_macro_avg	precision_weighted_avg	recall_weighted_avg	f1_score_weighted_avg	support_weighted_avg
A	0.00	0.00	0.00	0	1.00	0.88	0.94	7425	0.88	7425	0.50	0.44	0.47	7425	1.00	0.88	0.94	7425
a	1.00	0.84	0.91	7425	0.00	0.00	0.00	0	0.84	7425	0.50	0.42	0.46	7425	1.00	0.84	0.91	7425
