son	debut	fin
a	284.561	284.671
a	283.14099999999996	283.221
a	293.092	293.16200000000003
a	295.60200000000003	295.692
a	299.659	299.749
a	315.839	315.91900000000004
a	321.323	321.413
a	313.97900000000004	314.079
a	315.029	315.10900000000004
a	325.07	325.16
E	384.719	384.79900000000004
E	384.209	384.35900000000004
E	414.38	414.52
E	409.225	409.345
E	406.32800000000003	406.458
E	434.45599999999996	434.586
E	402.74	402.9
E	434.986	435.056
E	410.84	411.0
E	431.852	432.022
E	423.69800000000004	423.788
E	452.11199999999997	452.222
