son	debut	fin
a	583.809	583.899
a	599.73	599.82
a	653.062	653.1619999999999
a	604.052	604.1519999999999
a	606.862	606.932
a	577.9590000000001	578.029
a	635.854	635.984
a	627.507	627.587
a	638.3580000000001	638.438
a	605.592	605.6619999999999
a	659.043	659.113
E	748.2660000000001	748.346
E	790.8689999999999	790.959
E	783.865	783.935
E	767.4939999999999	767.6139999999999
E	815.172	815.242
E	772.8889999999999	772.9689999999999
E	809.502	809.572
E	812.942	813.0319999999999
E	804.832	804.942
a	661.898	661.9680000000001
E	862.145	862.245
E	860.045	860.145
E	851.7339999999999	851.804
E	848.954	849.0239999999999
