son	debut	fin
A	299.496	299.606
A	295.546	295.69599999999997
A	295.966	296.066
A	298.836	298.876
A	300.39599999999996	300.45599999999996
A	303.621	303.661
A	300.64599999999996	300.70599999999996
A	309.528	309.598
A	305.29	305.38
A	305.14	305.21
A	315.236	315.336
A	313.94599999999997	313.976
A	314.936	315.01599999999996
I	940.954	941.034
I	865.212	865.2719999999999
I	968.9760000000001	969.186
I	860.806	860.8560000000001
I	976.9680000000001	977.048
I	981.709	981.799
I	1010.293	1010.373
I	1023.485	1023.545
I	1004.01	1004.22
I	1026.441	1026.5410000000002
I	1014.235	1014.335
