son	debut	fin
a	671.336	671.456
a	668.196	668.2660000000001
a	745.27	745.37
a	749.263	749.383
a	689.48	689.55
a	726.7360000000001	726.806
a	629.129	629.1990000000001
a	711.314	711.3839999999999
a	678.552	678.6419999999999
a	694.0369999999999	694.107
a	750.503	750.573
E	1458.1589999999999	1458.279
E	1483.932	1484.082
E	1275.465	1275.565
E	1404.263	1404.3529999999998
E	1276.165	1276.235
E	1464.055	1464.125
E	1263.161	1263.231
E	1376.817	1376.9170000000001
E	1214.131	1214.211
E	1447.73	1447.8
E	1235.37	1235.44
E	1222.0910000000001	1222.181
E	1455.691	1455.771
