son	debut	fin
a	418.663	418.80300000000005
a	425.64599999999996	425.736
a	452.434	452.534
a	427.228	427.31800000000004
a	447.101	447.171
a	425.856	425.926
a	428.57800000000003	428.648
a	475.11400000000003	475.194
a	427.07800000000003	427.17800000000005
a	451.60400000000004	451.684
a	434.336	434.406
a	450.944	451.014
a	489.056	489.19599999999997
E	664.952	665.0219999999999
E	743.117	743.217
E	782.918	783.048
E	682.196	682.2860000000001
E	751.457	751.677
E	738.956	739.1260000000001
E	747.063	747.153
E	741.0269999999999	741.097
E	758.0939999999999	758.184
E	721.992	722.112
E	806.375	806.485
