son	debut	fin
A	318.85400000000004	318.954
A	323.42900000000003	323.48900000000003
A	332.051	332.08099999999996
A	361.809	361.889
A	316.98400000000004	317.014
A	322.98900000000003	323.04900000000004
A	379.392	379.43199999999996
A	374.162	374.292
I	1447.5439999999999	1447.5739999999998
I	1316.3210000000001	1316.351
I	1319.271	1319.391
I	1417.379	1417.499
I	1688.747	1688.8470000000002
I	1533.396	1533.486
I	1675.6770000000001	1675.757
I	1635.726	1635.796
I	1483.106	1483.1960000000001
I	1545.194	1545.264
I	1698.49	1698.62
I	1589.765	1589.945
