son	debut	fin
a	696.702	696.7919999999999
a	697.345	697.415
a	721.049	721.1289999999999
a	774.816	774.936
a	765.2760000000001	765.3960000000001
a	761.9860000000001	762.096
a	785.6489999999999	785.809
a	758.076	758.2860000000001
a	762.2660000000001	762.416
a	769.7560000000001	769.8560000000001
E	1761.737	1761.807
E	1703.0510000000002	1703.231
E	1674.8570000000002	1674.9270000000001
E	1755.1470000000002	1755.257
E	1655.6170000000002	1655.757
E	1678.3570000000002	1678.467
E	1627.605	1627.685
E	1760.497	1760.6170000000002
E	1752.267	1752.3770000000002
E	1705.2120000000002	1705.2820000000002
E	1660.1970000000001	1660.277
E	1669.6170000000002	1669.6870000000001
E	1760.967	1761.047
