son	debut	fin
a	152.719	152.789
a	147.799	147.889
a	133.769	133.91899999999998
a	157.751	157.83100000000002
a	186.032	186.102
a	159.754	159.82399999999998
a	185.602	185.68200000000002
a	205.137	205.247
a	182.442	182.512
a	165.28799999999998	165.458
a	205.687	205.787
E	476.483	476.61300000000006
E	452.74699999999996	452.88699999999994
E	447.789	447.909
E	441.561	441.651
E	439.471	439.561
E	452.087	452.17699999999996
E	430.84	430.93
E	538.382	538.512
E	541.582	541.672
E	537.0319999999999	537.182
E	511.57199999999995	511.662
E	514.052	514.1519999999999
