son	debut	fin
a	382.093	382.163
a	358.481	358.551
a	354.256	354.32599999999996
a	373.407	373.49699999999996
a	368.087	368.24699999999996
a	372.99699999999996	373.077
a	414.527	414.63699999999994
a	394.596	394.69599999999997
a	409.015	409.085
a	414.097	414.167
a	413.85699999999997	414.027
E	545.159	545.239
E	543.0	543.1
E	557.284	557.374
E	544.879	544.979
E	561.774	561.864
E	532.511	532.601
E	547.1469999999999	547.217
E	567.615	567.695
E	560.184	560.254
E	544.279	544.389
E	547.377	547.457
E	536.512	536.6619999999999
E	560.894	560.964
