son	debut	fin
A	99.919	100.01899999999999
A	114.104	114.17399999999999
A	128.72299999999998	128.833
A	111.984	112.084
A	111.554	111.654
A	103.316	103.35600000000001
A	111.28399999999999	111.36399999999999
A	103.77600000000001	103.82600000000001
A	213.579	213.65900000000002
A	221.82299999999998	221.933
I	1941.46	1941.5
I	1911.49	1911.58
I	1593.1979999999999	1593.2879999999998
I	1954.5639999999999	1954.624
I	1957.0339999999999	1957.124
I	1944.317	1944.3770000000002
I	1927.094	1927.134
I	1994.9289999999999	1994.999
I	2247.5879999999997	2247.6679999999997
I	1994.1789999999999	1994.289
