son	debut	fin
a	354.62199999999996	354.712
a	344.57099999999997	344.681
a	375.805	375.915
a	356.205	356.365
a	367.406	367.496
a	357.005	357.105
a	342.223	342.36300000000006
a	341.673	341.75300000000004
a	424.30800000000005	424.38800000000003
a	423.00800000000004	423.07800000000003
E	812.9689999999999	813.1289999999999
E	751.827	751.997
E	756.939	757.029
E	718.9780000000001	719.068
E	711.051	711.1310000000001
E	808.808	808.878
E	732.085	732.165
E	809.938	810.018
E	774.922	775.002
E	766.807	766.8969999999999
E	869.2189999999999	869.3489999999999
E	865.1089999999999	865.2389999999999
