son	debut	fin
a	1373.84	1374.01
a	1276.869	1276.9489999999998
a	1374.92	1374.99
a	1394.886	1394.9560000000001
a	1374.31	1374.47
a	1274.068	1274.208
a	1268.263	1268.333
a	1372.4029999999998	1372.503
a	1428.3629999999998	1428.433
E	1852.536	1852.626
E	1841.967	1842.067
E	1872.506	1872.576
E	1791.047	1791.1370000000002
E	1722.496	1722.566
E	1756.477	1756.6370000000002
E	1750.92	1751.01
E	1433.0829999999999	1433.1629999999998
a	1455.3729999999998	1455.443
E	1440.444	1440.524
E	1865.4160000000002	1865.516
a	1431.983	1432.0829999999999
E	1844.862	1844.932
E	1584.0	1584.07
a	1459.764	1459.844
E	1596.431	1596.531
