son	debut	fin
a	305.925	305.995
a	306.075	306.145
a	317.668	317.738
a	334.964	335.034
a	325.971	326.08099999999996
a	318.198	318.328
a	324.08099999999996	324.151
a	312.248	312.368
a	328.881	328.981
a	332.914	332.98400000000004
a	313.388	313.528
E	351.55800000000005	351.648
E	355.898	356.098
E	365.356	365.426
E	357.858	357.958
a	342.61199999999997	342.68199999999996
E	350.918	350.98800000000006
E	351.168	351.23800000000006
E	364.336	364.416
a	336.464	336.54400000000004
E	375.149	375.219
E	368.93699999999995	369.037
E	367.466	367.536
E	374.819	374.889
E	367.666	367.746
E	374.949	375.039
