son	debut	fin
a	554.586	554.656
a	591.0930000000001	591.173
a	589.753	589.913
a	590.933	591.013
a	576.602	576.672
a	610.488	610.558
a	554.886	554.956
a	575.722	575.7919999999999
a	561.8340000000001	561.904
a	576.352	576.482
a	618.2959999999999	618.366
E	1361.527	1361.6370000000002
E	1306.572	1306.772
E	1284.391	1284.481
E	1341.609	1341.6789999999999
E	1319.5729999999999	1319.6429999999998
E	1279.502	1279.662
E	1398.193	1398.273
E	1408.0610000000001	1408.141
E	1457.52	1457.61
E	1414.7779999999998	1414.878
E	1468.984	1469.094
E	1436.025	1436.115
E	1418.385	1418.455
