son	debut	fin
a	338.934	339.014
a	338.064	338.134
a	371.847	372.00699999999995
a	366.55699999999996	366.717
a	337.744	337.86400000000003
a	361.561	361.671
a	338.694	338.784
a	403.749	403.819
a	404.54900000000004	404.639
a	401.139	401.22900000000004
a	403.569	403.659
a	400.539	400.60900000000004
E	621.88	621.99
E	613.197	613.317
E	623.067	623.207
E	627.252	627.442
E	613.427	613.627
E	627.482	627.6619999999999
E	647.2040000000001	647.294
E	635.115	635.185
E	647.424	647.514
E	648.664	648.734
E	629.844	629.914
E	658.518	658.5880000000001
E	632.304	632.444
