son	debut	fin
a	438.704	438.79400000000004
a	414.33	414.47
a	460.725	460.795
a	445.204	445.274
a	458.473	458.56300000000005
a	459.13300000000004	459.233
a	490.74800000000005	490.88800000000003
a	455.85	455.92
a	522.485	522.555
a	528.695	528.795
a	494.582	494.702
a	515.488	515.5880000000001
E	827.834	827.904
E	838.38	838.48
E	717.872	717.992
E	719.692	719.7719999999999
E	851.7489999999999	851.8389999999999
E	824.564	824.6339999999999
E	660.807	660.997
E	841.4889999999999	841.579
E	674.428	674.628
E	780.005	780.125
E	668.6360000000001	668.716
E	847.924	847.9939999999999
E	711.44	711.52
