son	debut	fin
a	256.168	256.248
a	255.628	255.718
a	271.024	271.144
a	264.82599999999996	264.89599999999996
a	272.124	272.194
a	267.444	267.534
a	272.524	272.60400000000004
a	266.434	266.55400000000003
E	846.836	846.9760000000001
E	789.5089999999999	789.5989999999999
E	847.2860000000001	847.3560000000001
E	820.773	820.8530000000001
E	821.553	821.7130000000001
E	730.571	730.711
E	794.3589999999999	794.459
E	789.039	789.1089999999999
E	821.033	821.123
E	765.841	765.9110000000001
E	804.352	804.432
