son	debut	fin
a	196.495	196.605
a	189.65900000000002	189.799
a	180.74099999999999	180.84099999999998
a	194.675	194.815
a	201.571	201.65099999999998
a	201.88099999999997	201.97099999999998
a	205.951	206.051
a	217.976	218.046
a	199.475	199.555
a	218.09599999999998	218.18599999999998
E	494.19699999999995	494.30699999999996
E	477.727	477.86699999999996
E	496.147	496.23699999999997
E	552.3330000000001	552.403
E	505.611	505.711
E	471.77099999999996	471.841
E	495.10699999999997	495.17699999999996
E	553.552	553.622
E	470.291	470.361
E	613.638	613.808
E	613.8480000000001	613.938
E	602.592	602.6619999999999
