son	debut	fin
a	260.47900000000004	260.559
a	261.819	261.92900000000003
a	301.07599999999996	301.14599999999996
a	275.777	275.847
a	294.832	294.932
a	286.562	286.652
a	276.117	276.22700000000003
a	300.466	300.536
a	287.942	288.022
a	304.44599999999997	304.63599999999997
a	275.53700000000003	275.627
a	280.642	280.79200000000003
E	667.0889999999999	667.169
E	656.453	656.523
E	657.913	657.9830000000001
E	660.5930000000001	660.663
E	678.63	678.7
E	714.8660000000001	714.946
E	703.27	703.36
E	682.802	682.872
E	757.029	757.0989999999999
E	722.403	722.503
E	722.623	722.693
E	699.5310000000001	699.681
E	731.685	731.755
