son	debut	fin
A	426.718	426.74800000000005
A	427.05800000000005	427.158
A	481.18199999999996	481.23199999999997
A	483.12800000000004	483.17800000000005
A	486.111	486.14099999999996
A	474.866	474.89599999999996
A	454.334	454.384
A	432.69800000000004	432.74800000000005
A	439.105	439.205
A	473.816	473.89599999999996
A	463.129	463.17900000000003
I	1129.698	1129.758
I	1135.786	1135.826
I	1161.9589999999998	1162.049
I	1078.823	1078.853
I	1066.642	1066.722
I	1072.142	1072.202
I	1163.069	1163.149
I	1146.934	1147.014
I	1071.8419999999999	1071.912
