son	debut	fin
a	327.462	327.552
a	290.536	290.63599999999997
a	323.772	323.91200000000003
a	298.842	298.91200000000003
a	287.486	287.626
a	279.999	280.089
a	284.27299999999997	284.383
a	312.048	312.158
a	366.376	366.44599999999997
a	357.805	357.975
E	982.3989999999999	982.4689999999999
E	1020.355	1020.525
E	1040.641	1040.711
E	1185.99	1186.07
E	1220.94	1221.01
E	1301.14	1301.21
E	1223.87	1223.94
E	1161.367	1161.4669999999999
E	1222.68	1222.83
E	1170.5610000000001	1170.631
E	1238.498	1238.568
E	1303.2	1303.27
E	1307.0510000000002	1307.121
