son	debut	fin
a	777.345	777.425
a	776.915	776.995
a	770.566	770.6360000000001
a	802.194	802.2639999999999
a	806.4939999999999	806.564
a	857.003	857.073
a	819.577	819.7769999999999
a	828.508	828.578
a	850.3330000000001	850.403
a	802.7139999999999	802.804
a	870.914	870.9839999999999
a	912.4960000000001	912.586
E	1286.683	1286.7730000000001
E	1208.069	1208.1789999999999
E	1370.043	1370.1329999999998
E	1316.235	1316.305
E	1300.877	1300.947
E	1227.4	1227.47
E	1299.027	1299.097
E	1288.863	1288.933
E	1281.812	1281.912
E	1306.297	1306.367
E	1322.6729999999998	1322.783
E	1209.329	1209.4089999999999
E	1304.327	1304.407
