son	debut	fin
a	448.61800000000005	448.68800000000005
a	596.754	596.8240000000001
a	564.529	564.599
a	581.526	581.596
a	532.409	532.489
a	515.192	515.262
a	579.966	580.086
a	452.85699999999997	453.05699999999996
a	474.659	474.769
a	481.23699999999997	481.327
a	463.85699999999997	463.98699999999997
a	527.599	527.669
E	1008.947	1009.0369999999999
E	1000.4960000000001	1000.566
E	996.6410000000001	996.721
E	1179.646	1179.7160000000001
E	1248.782	1248.912
E	1017.465	1017.535
E	1131.505	1131.655
E	1053.907	1054.007
E	1100.961	1101.0510000000002
E	1140.347	1140.417
E	1135.6480000000001	1135.728
E	1169.478	1169.578
E	1169.368	1169.438
