son	debut	fin
a	655.149	655.259
a	660.6339999999999	660.704
a	647.48	647.56
a	647.19	647.42
a	716.2330000000001	716.303
a	717.043	717.163
a	684.451	684.571
a	718.153	718.2230000000001
a	707.69	707.77
a	710.43	710.51
a	678.16	678.23
E	1241.384	1241.454
E	1260.744	1260.8239999999998
E	1258.104	1258.174
E	1211.164	1211.3139999999999
E	1228.728	1228.818
E	1195.557	1195.647
E	1186.0510000000002	1186.2910000000002
E	1206.046	1206.116
E	1169.829	1169.9389999999999
E	1182.567	1182.657
E	1193.191	1193.3210000000001
E	1166.362	1166.612
E	1310.7839999999999	1310.854
