son	debut	fin
a	609.052	609.182
a	596.654	596.764
a	595.804	595.874
a	662.6389999999999	662.709
a	612.773	612.873
a	592.91	593.06
a	611.913	611.9830000000001
a	686.313	686.423
a	689.053	689.143
a	662.9889999999999	663.059
E	699.303	699.523
a	683.9630000000001	684.053
a	663.1489999999999	663.3489999999999
a	687.533	687.633
E	711.597	711.707
E	828.7130000000001	828.8430000000001
E	745.547	745.717
E	891.698	891.778
E	881.635	881.725
E	779.806	779.9060000000001
E	727.64	727.84
E	884.247	884.317
E	847.243	847.403
E	808.5210000000001	808.6110000000001
E	910.645	910.775
E	913.905	913.975
