son	debut	fin
a	552.306	552.456
a	557.501	557.581
a	562.433	562.573
a	599.881	599.951
a	563.4830000000001	563.573
a	566.039	566.149
a	557.861	558.031
a	539.915	539.985
a	601.591	601.661
a	602.481	602.5509999999999
a	605.79	605.86
a	606.02	606.12
E	950.934	951.184
E	979.8389999999999	979.959
E	1284.596	1284.6860000000001
E	984.8589999999999	984.939
E	1091.107	1091.2169999999999
E	1084.954	1085.0439999999999
E	1213.9260000000002	1214.006
E	1211.414	1211.484
E	1278.214	1278.2839999999999
E	1249.697	1249.797
E	1005.155	1005.265
E	982.039	982.1089999999999
E	1076.506	1076.576
