son	debut	fin
a	391.34	391.41
a	477.647	477.75699999999995
a	482.75699999999995	482.827
a	483.917	484.00699999999995
a	381.491	381.591
a	383.789	383.869
a	511.88	511.95
E	526.753	526.8330000000001
E	618.486	618.556
a	530.693	530.783
a	512.18	512.26
a	541.501	541.681
E	528.933	529.003
E	616.316	616.456
E	622.813	622.883
E	613.686	613.766
a	484.55699999999996	484.68699999999995
a	508.55	508.64
E	593.609	593.689
E	527.563	527.673
E	634.59	634.73
E	635.15	635.22
E	629.956	630.026
E	627.346	627.436
E	623.523	623.5930000000001
