son	debut	fin
E	1259.476	1259.556
E	1212.243	1212.353
E	1138.609	1138.6789999999999
E	1163.486	1163.566
E	1150.703	1150.7930000000001
E	1149.763	1149.843
E	1236.981	1237.0610000000001
E	1201.7169999999999	1201.927
E	1179.001	1179.0710000000001
E	1154.218	1154.308
E	1182.361	1182.441
E	1160.336	1160.4160000000002
a	387.785	387.855
a	407.917	407.99699999999996
a	425.575	425.675
a	389.025	389.095
a	430.605	430.695
a	421.89599999999996	421.976
a	480.805	480.875
a	393.056	393.13599999999997
E	1245.859	1245.9489999999998
