son	debut	fin
a	269.832	269.972
a	273.872	273.952
a	280.553	280.803
a	285.006	285.086
a	273.66200000000003	273.79200000000003
a	291.481	291.58099999999996
a	298.566	298.70599999999996
a	296.89599999999996	296.966
a	292.751	292.83099999999996
a	291.041	291.14099999999996
E	421.23800000000006	421.44800000000004
E	420.908	421.028
a	320.666	320.786
a	316.685	316.765
E	444.865	444.985
E	492.282	492.452
E	433.22	433.29
E	491.93199999999996	492.06199999999995
E	494.695	494.845
E	454.726	454.876
E	476.545	476.655
E	457.38599999999997	457.466
E	467.42400000000004	467.534
E	468.014	468.10400000000004
