son	debut	fin
a	227.862	228.002
a	230.032	230.122
a	227.232	227.322
a	257.127	257.197
a	277.738	277.808
a	251.562	251.68200000000002
a	297.471	297.561
a	291.37	291.45
a	251.102	251.18200000000002
a	291.26	291.34
a	256.757	256.837
E	757.685	757.755
E	668.617	668.727
E	843.302	843.382
E	747.4169999999999	747.497
E	767.9939999999999	768.154
E	711.409	711.4989999999999
E	842.7719999999999	842.852
E	705.8510000000001	705.931
E	683.453	683.523
E	758.855	758.995
E	685.55	685.63
E	743.551	743.671
E	857.548	857.638
