son	debut	fin
a	518.99	519.22
a	556.41	556.57
a	624.178	624.318
a	598.446	598.536
a	626.586	626.656
a	586.278	586.3480000000001
a	603.346	603.436
a	523.183	523.263
a	588.988	589.0980000000001
a	598.906	599.006
E	826.091	826.2310000000001
E	961.2539999999999	961.414
E	819.92	820.0
E	891.732	891.852
E	1004.765	1004.835
E	759.7869999999999	759.857
E	1003.755	1003.865
E	901.291	901.3910000000001
E	960.434	960.5939999999999
E	906.044	906.1439999999999
E	764.309	764.3789999999999
E	924.805	924.885
E	754.674	754.834
