son	debut	fin
a	879.3760000000001	879.456
a	1045.031	1045.121
a	874.582	874.6519999999999
a	981.154	981.2539999999999
a	1042.771	1042.851
a	981.404	981.4739999999999
a	876.582	876.6519999999999
a	1043.361	1043.441
a	1210.318	1210.388
a	1041.8410000000001	1041.921
E	2111.486	2111.556
E	2178.991	2179.081
a	1260.718	1260.828
a	1261.508	1261.638
E	2078.6679999999997	2078.738
a	1259.128	1259.218
E	2612.5	2612.58
E	2374.8720000000003	2374.942
E	2663.2459999999996	2663.316
E	2221.659	2221.899
E	2604.583	2604.673
E	2612.62	2612.71
E	2183.368	2183.5879999999997
E	2244.051	2244.141
E	2657.04	2657.11
E	2237.5389999999998	2237.619
