segment	debut	fin
A	2488.5526666666665	2488.5660000000003
A	2505.677	2505.697
A	2479.288	2479.298
A	2488.526	2488.539333333333
A	2479.3080000000004	2479.318000000001
A	2505.657	2505.677
A	2516.173	2516.193
A	2516.153	2516.173
A	2543.653	2543.663
A	2514.079666666667	2514.1030000000005
A	2533.9210000000007	2533.9310000000005
A	2516.193	2516.213
A	2514.033	2514.056333333333
A	2525.172	2525.1986666666667
A	2506.603666666667	2506.6270000000004
A	2525.2253333333333	2525.252
A	2508.447	2508.4736666666668
A	2533.911	2533.9210000000007
A	2508.4736666666668	2508.500333333333
A	2533.901	2533.911
A	2514.056333333333	2514.079666666667
A	2508.500333333333	2508.527
A	2525.1986666666667	2525.2253333333333
A	2561.1706666666664	2561.184
A	2552.223	2552.243
A	2552.263	2552.283
A	2565.1306666666665	2565.157333333333
A	2543.673	2543.6830000000004
A	2561.144	2561.157333333333
A	2565.157333333333	2565.184
A	2561.157333333333	2561.1706666666664
A	2552.243	2552.263
A	2565.104	2565.1306666666665
A	2543.663	2543.673
A	2581.792	2581.802
A	2579.494	2579.514
A	2579.474	2579.494
A	2581.802	2581.812000000001
A	2581.812000000001	2581.822000000001
A	2579.514	2579.534
A	2240.274	2240.284
A	2244.190666666667	2244.2039999999997
A	2243.6540000000005	2243.6640000000007
A	2243.644	2243.6540000000005
A	2244.177333333333	2244.190666666667
A	2244.1639999999998	2244.177333333333
A	2240.264	2240.274
A	2240.284	2240.2939999999994
A	2243.634	2243.644
A	2278.9220000000005	2278.952000000001
A	2274.9686666666666	2274.985333333333
A	2286.916333333333	2286.9296666666664
A	2278.862	2278.8920000000007
A	2286.903	2286.916333333333
A	2274.985333333333	2275.0019999999995
A	2274.952	2274.9686666666666
A	2278.8920000000007	2278.9220000000005
A	2319.6206666666667	2319.6373333333336
A	2286.9296666666664	2286.943
A	2306.3480000000004	2306.358000000001
A	2318.774	2318.8106666666667
A	2300.4700000000007	2300.4800000000005
A	2300.46	2300.4700000000007
A	2319.6373333333336	2319.6540000000005
A	2306.328	2306.3379999999997
A	2319.604	2319.6206666666667
A	2318.8106666666667	2318.8473333333336
A	2306.3379999999997	2306.3480000000004
A	2300.69	2300.7166666666667
A	2318.8473333333336	2318.8840000000005
A	2300.7433333333333	2300.77
A	2300.45	2300.46
A	2300.7166666666667	2300.7433333333333
A	2335.1776666666665	2335.2110000000002
A	2352.536	2352.572666666667
A	2352.6093333333342	2352.646000000001
A	2335.144333333333	2335.1776666666665
A	2335.111	2335.144333333333
A	2352.572666666667	2352.6093333333342
A	2384.2163333333333	2384.2296666666666
A	2385.863	2385.883
A	2384.2296666666666	2384.243
A	2385.843	2385.863
A	2384.203	2384.2163333333333
A	2385.823	2385.843
A	2384.913	2384.933
A	2384.616333333333	2384.6296666666667
A	2376.692666666667	2376.7093333333332
A	2384.873	2384.893
A	2376.7093333333332	2376.726000000001
A	2384.6296666666667	2384.643
A	2386.2929999999997	2386.3196666666668
A	2384.893	2384.913
A	2376.676	2376.692666666667
A	2384.603	2384.616333333333
A	2396.664	2396.704
A	2399.087333333333	2399.1206666666667
A	2401.194	2401.214
A	2401.214	2401.234
A	2386.3196666666668	2386.346333333333
A	2401.234	2401.254
A	2396.624	2396.664
A	2399.054	2399.087333333333
A	2401.6306666666665	2401.657333333333
A	2401.657333333333	2401.684
A	2404.074	2404.084
A	2396.704	2396.744
A	2399.1206666666667	2399.154
A	2404.084	2404.094
A	2386.346333333333	2386.373
A	2404.094	2404.1039999999994
A	2401.604	2401.6306666666665
A	2404.404	2404.4139999999998
A	2409.270666666667	2409.304
A	2408.9539999999997	2408.974
A	2404.394	2404.404
A	2408.9139999999998	2408.9339999999997
A	2413.426	2413.436
A	2409.2039999999997	2409.237333333333
A	2411.956	2411.989333333333
A	2408.9339999999997	2408.9539999999997
A	2409.237333333333	2409.270666666667
A	2404.4139999999998	2404.4240000000004
A	2411.989333333333	2412.0226666666667
A	2412.0226666666667	2412.056
A	2426.627	2426.637
A	2426.347	2426.3569999999995
A	2426.617	2426.627
A	2424.197	2424.220333333333
