segment	debut	fin
A	1446.033666666667	1446.0603333333331
A	1433.418666666667	1433.432
A	1433.392	1433.4053333333334
A	1441.075	1441.091666666667
A	1446.0603333333331	1446.0870000000002
A	1433.4053333333334	1433.418666666667
A	1441.091666666667	1441.1083333333331
A	1441.1083333333331	1441.125
A	1439.7820000000002	1439.7920000000001
A	1446.007	1446.033666666667
A	1439.7720000000002	1439.7820000000002
A	1439.7920000000001	1439.8020000000001
A	1466.796	1466.806
A	1471.905	1471.915
A	1460.9906666666666	1461.0073333333332
A	1460.974	1460.9906666666666
A	1466.776	1466.786
A	1466.786	1466.796
A	1471.895	1471.905
A	1454.619666666667	1454.6329999999998
A	1454.6063333333334	1454.619666666667
A	1461.0073333333332	1461.024
A	1454.5929999999998	1454.6063333333334
A	1471.915	1471.925
A	1484.244333333333	1484.261
A	1484.3676666666668	1484.3843333333334
A	1484.351	1484.3676666666668
A	1497.378	1497.398
A	1504.256	1504.2693333333334
A	1484.3843333333334	1484.401
A	1504.282666666667	1504.296
A	1484.227666666667	1484.244333333333
A	1484.211	1484.227666666667
A	1497.338	1497.358
A	1518.646	1518.656
A	1504.2693333333334	1504.282666666667
A	1497.358	1497.378
A	1518.6660000000002	1518.6760000000002
A	1518.656	1518.6660000000002
A	1572.3770000000002	1572.4170000000001
A	1596.0776666666666	1596.1243333333332
A	1572.4170000000001	1572.457
A	1596.031	1596.0776666666666
A	1568.414	1568.444
A	1625.4189999999999	1625.4389999999999
A	1625.629	1625.679
A	1625.7289999999996	1625.7789999999998
A	1625.4589999999998	1625.479
A	1568.384	1568.414
A	1625.4389999999999	1625.4589999999998
A	1625.679	1625.7289999999996
A	1602.249	1602.275666666667
A	1568.444	1568.474
A	1602.275666666667	1602.302333333333
A	1596.1243333333332	1596.1709999999996
A	1572.3370000000002	1572.3770000000002
A	1602.302333333333	1602.329
A	1676.6256666666666	1676.6423333333332
A	1676.6423333333332	1676.659
A	1662.5839999999998	1662.600666666667
A	1629.5876666666666	1629.601
A	1676.609	1676.6256666666666
A	1645.6036666666666	1645.6370000000002
A	1647.371	1647.387666666667
A	1629.5743333333332	1629.5876666666666
A	1679.0	1679.01
A	1662.6173333333334	1662.634
A	1645.537	1645.570333333333
A	1629.5610000000001	1629.5743333333332
A	1662.600666666667	1662.6173333333334
A	1645.570333333333	1645.6036666666666
A	1647.387666666667	1647.4043333333334
A	1647.4043333333334	1647.421
A	1679.02	1679.03
A	1709.556	1709.576
A	1709.596	1709.616
A	1709.8293333333334	1709.846
