segment	debut	fin
A	1934.499	1934.529
A	1902.6860000000001	1902.6960000000001
A	1946.8936666666666	1946.9270000000001
A	1874.3846666666666	1874.4113333333328
A	1873.015	1873.041666666667
A	1910.2806666666665	1910.2973333333327
A	1874.898	1874.908
A	1907.9189999999999	1907.9423333333332
A	1872.195	1872.225
A	1902.2526666666665	1902.289333333333
A	1874.4113333333328	1874.438
A	1910.2973333333327	1910.314
A	1916.1529999999998	1916.1629999999998
A	1934.469	1934.499
A	1916.1429999999998	1916.1529999999998
A	1874.888	1874.898
A	1907.965666666667	1907.989
A	1946.860333333333	1946.8936666666666
A	1910.394	1910.404
A	1902.6760000000002	1902.6860000000001
A	1873.0683333333332	1873.095
A	1902.2160000000001	1902.2526666666665
A	1873.041666666667	1873.0683333333332
A	1872.255	1872.285
A	1874.878	1874.888
A	1902.6660000000002	1902.6760000000002
A	1907.9423333333332	1907.965666666667
A	1872.225	1872.255
A	1946.8270000000002	1946.860333333333
A	1916.1629999999998	1916.1729999999998
A	1910.384	1910.394
A	1910.264	1910.2806666666665
A	1910.404	1910.414
A	1934.529	1934.559
A	1874.358	1874.3846666666666
A	1902.289333333333	1902.326
A	1966.9370000000001	1966.967
A	1956.39	1956.4233333333332
A	2014.6966666666665	2014.75
A	2013.823333333333	2013.86
A	1982.614	1982.657333333333
A	1982.884	1982.924
A	1979.590666666667	1979.6273333333331
A	1982.0439999999999	1982.070666666667
A	1956.456666666667	1956.49
A	2009.919333333333	2009.9826666666665
A	2009.9826666666665	2010.046
A	1982.924	1982.964
A	1982.070666666667	1982.0973333333332
A	1980.7806666666665	1980.8073333333327
A	1982.657333333333	1982.7006666666666
A	1973.2966666666666	1973.323333333333
A	1966.997	1967.027
A	1956.4233333333332	1956.456666666667
A	1982.844	1982.884
A	2009.856	2009.919333333333
A	1979.6273333333331	1979.664
A	1979.5539999999999	1979.590666666667
A	2017.9606666666666	2017.9973333333328
A	2013.75	2013.7866666666666
A	2014.6433333333327	2014.6966666666665
A	2013.7866666666666	2013.823333333333
A	1982.0973333333332	1982.124
A	1980.8073333333327	1980.834
A	1982.7006666666666	1982.744
A	1973.323333333333	1973.35
A	1980.754	1980.7806666666665
A	2014.59	2014.6433333333327
