	precision_0	recall_0	f1_score_0	support_0	precision_1	recall_1	f1_score_1	support_1	f1_score_accuracy	support_accuracy	precision_macro_avg	recall_macro_avg	f1_score_macro_avg	support_macro_avg	precision_weighted_avg	recall_weighted_avg	f1_score_weighted_avg	support_weighted_avg
03_12_07_nb1_1_16	0.96	0.85	0.90	55	0.87	0.96	0.91	55	0.91	110	0.91	0.91	0.91	110	0.91	0.91	0.91	110
03_12_07_nb1_2_16	0.86	0.89	0.88	55	0.89	0.85	0.87	55	0.87	110	0.87	0.87	0.87	110	0.87	0.87	0.87	110
04_12_07_nb1_1_16	0.92	0.98	0.95	55	0.98	0.91	0.94	55	0.95	110	0.95	0.95	0.95	110	0.95	0.95	0.95	110
04_12_07_nb1_2_16	0.98	0.96	0.97	55	0.96	0.98	0.97	55	0.97	110	0.97	0.97	0.97	110	0.97	0.97	0.97	110
04_12_07_nb2_1_16	0.96	0.87	0.91	55	0.88	0.96	0.92	55	0.92	110	0.92	0.92	0.92	110	0.92	0.92	0.92	110
04_12_07_nb2_2_16	0.94	0.89	0.92	55	0.90	0.95	0.92	55	0.92	110	0.92	0.92	0.92	110	0.92	0.92	0.92	110
04_12_07_nb3_1_16	0.90	0.85	0.88	55	0.86	0.91	0.88	55	0.88	110	0.88	0.88	0.88	110	0.88	0.88	0.88	110
04_12_07_nb3_2_16	0.91	0.87	0.89	55	0.88	0.91	0.89	55	0.89	110	0.89	0.89	0.89	110	0.89	0.89	0.89	110
05_12_07_nb1_1_16	0.98	0.84	0.90	55	0.86	0.98	0.92	55	0.91	110	0.92	0.91	0.91	110	0.92	0.91	0.91	110
05_12_07_nb1_2_16	0.98	0.91	0.94	55	0.92	0.98	0.95	55	0.95	110	0.95	0.95	0.95	110	0.95	0.95	0.95	110
14_11_07_nb1_1_16	0.87	0.98	0.92	55	0.98	0.85	0.91	55	0.92	110	0.93	0.92	0.92	110	0.93	0.92	0.92	110
14_11_07_nb1_2_16	0.90	0.85	0.88	55	0.86	0.91	0.88	55	0.88	110	0.88	0.88	0.88	110	0.88	0.88	0.88	110
14_11_07_nb2_1_16	0.96	0.84	0.89	55	0.85	0.96	0.91	55	0.90	110	0.91	0.90	0.90	110	0.91	0.90	0.90	110
14_11_07_nb2_2_16	0.91	0.91	0.91	55	0.91	0.91	0.91	55	0.91	110	0.91	0.91	0.91	110	0.91	0.91	0.91	110
16_11_07_nb1_1_16	0.96	0.95	0.95	55	0.95	0.96	0.95	55	0.95	110	0.95	0.95	0.95	110	0.95	0.95	0.95	110
16_11_07_nb1_2_16	0.96	0.91	0.93	55	0.91	0.96	0.94	55	0.94	110	0.94	0.94	0.94	110	0.94	0.94	0.94	110
16_11_07_nb2_1_16	0.96	0.96	0.96	55	0.96	0.96	0.96	55	0.96	110	0.96	0.96	0.96	110	0.96	0.96	0.96	110
16_11_07_nb2_2_16	0.90	0.96	0.93	55	0.96	0.89	0.92	55	0.93	110	0.93	0.93	0.93	110	0.93	0.93	0.93	110
20_11_07_nb1_1_16	0.91	0.96	0.94	55	0.96	0.91	0.93	55	0.94	110	0.94	0.94	0.94	110	0.94	0.94	0.94	110
20_11_07_nb1_2_16	0.96	0.95	0.95	55	0.95	0.96	0.95	55	0.95	110	0.95	0.95	0.95	110	0.95	0.95	0.95	110
22_11_07_nb1_1_16	0.90	0.98	0.94	55	0.98	0.89	0.93	55	0.94	110	0.94	0.94	0.94	110	0.94	0.94	0.94	110
22_11_07_nb1_2_16	0.91	0.95	0.93	55	0.94	0.91	0.93	55	0.93	110	0.93	0.93	0.93	110	0.93	0.93	0.93	110
