	precision_0	recall_0	f1_score_0	support_0	precision_1	recall_1	f1_score_1	support_1	f1_score_accuracy	support_accuracy	precision_macro_avg	recall_macro_avg	f1_score_macro_avg	support_macro_avg	precision_weighted_avg	recall_weighted_avg	f1_score_weighted_avg	support_weighted_avg
A	0.00	0.00	0.00	0	1.00	0.78	0.88	2475	0.78	2475	0.50	0.39	0.44	2475	1.00	0.78	0.88	2475
a	1.00	0.91	0.95	2475	0.00	0.00	0.00	0	0.91	2475	0.50	0.45	0.48	2475	1.00	0.91	0.95	2475
