son	temps_debut	temps_fin	f0_milieuV	f0_mean	intensite_milieuV	intensite_mean
a	3644.3590000000004	3644.429	172.12954141459002	170.6273605120405	62.25156974459805	61.42857983075157
a	3634.2690000000002	3634.3390000000004	147.03510206899202	145.94452993504618	64.52255175048795	63.28524959635474
a	3658.2990000000004	3658.4190000000003	114.64034362967747	114.86044543066761	66.69482321684723	64.2065667103078
a	3784.138	3784.238	145.5926357694105	145.25438343690408	58.76133564646214	58.062784225203366
a	3793.868	3793.968	--undefined--	111.94676710652456	48.2442482934929	48.04287880848286
a	3748.926	3749.0359999999996	148.5618815397575	148.14102230189073	66.0336624960483	66.21268661755585
a	3790.006	3790.0759999999996	103.9490655478952	104.0806293180893	58.85348517448175	58.48654508658348
a	3722.8940000000002	3722.974	114.52246911169733	115.22157445806468	50.64401897660634	48.5307187972369
a	3874.389	3874.4590000000003	101.86674681607708	104.63717482971707	50.585668278767	50.935447345259064
a	3660.3790000000004	3660.4590000000003	105.20003131192014	105.3191844475841	60.54611956386942	59.409859083446044
a	3639.192	3639.302	147.6379074824138	147.84508581608137	68.3227535332042	67.28284690484405
a	3670.949	3671.079	131.76212498755194	127.82154036822871	72.65682439529239	69.23486327306773
a	3859.6620000000003	3859.732	125.17385252636208	125.69492429130298	50.52245181409926	50.68449501666669
a	3624.752	3624.8720000000003	116.6269730280742	121.81324781613185	67.01062968885096	69.00819352671658
a	3869.679	3869.7490000000003	106.9734813984628	107.28782902792722	50.91955621653289	50.57883779438519
a	3672.1890000000003	3672.329	--undefined--	125.73377424477489	59.8534942711462	62.286930061958415
a	3658.539	3658.639	128.00345958711094	129.07796204227867	69.08325807993582	68.4078624108776
a	3546.683	3546.763	96.95173702896356	96.47932534013158	58.37171768043598	58.17525972723001
a	3560.908	3561.018	116.42830093216419	117.60687052128078	57.33809759831956	57.43059567567205
a	4041.5490000000004	4041.619	119.36861122996973	120.67077081663786	68.37338554108804	67.13001608070633
a	3866.809	3866.889	168.735405441125	170.94910305237477	56.779172254224584	57.32277653627706
a	3604.322	3604.4120000000003	130.3961395121305	130.16261569342336	63.77085109676317	62.13211141540984
a	3619.8459999999995	3619.9359999999997	101.14091813823522	102.79141570301572	59.260859293681705	58.01159155835063
a	3616.0890000000004	3616.1690000000003	110.86776245441285	108.97054663646448	62.1330579640107	61.21291141202587
a	3928.8509999999997	3928.921	115.5200873469503	116.27953797965408	66.6107600236803	65.63247860463069
a	4424.01	4424.13	172.54205123087706	164.90872375666794	70.18994870436006	68.04797563512202
a	4049.208	4049.278	110.36354396345287	106.25740879803782	51.83005203509755	50.65441388082277
a	4747.018	4747.148	136.4065044316384	138.58789974849304	60.33465813155842	60.5975096945841
a	4296.853	4296.983	198.4738093455324	208.61537497461947	69.22188375560992	67.19470247232411
a	4087.1290000000004	4087.2490000000003	139.24604717098902	139.8565758147567	61.60236789369304	61.11390134698511
a	4758.846	4758.936	561.5995925116712	559.0014278022651	54.61587537826065	54.72027558926577
a	4766.207	4766.307	160.21646387128072	158.1349411495391	60.40900787444552	59.93497912689346
a	4650.789000000001	4650.899	118.76453303890625	116.00944149722474	60.86926521902317	60.51999243794131
a	4077.7090000000003	4077.7790000000005	128.11899521150127	128.03318268388827	68.48308415070608	67.03979179226397
a	4762.566	4762.666	146.01597130575115	145.37288491478137	55.633126222622394	54.90374637874958
a	4650.009	4650.179	131.05986551498088	129.8960155285324	53.92921025413558	54.3931991300201
a	4721.277	4721.397	109.99946640343683	109.45856198159926	63.216053309394766	62.364251676139276
a	4064.5190000000002	4064.6090000000004	104.01294682147626	105.97028682814211	52.22697303427408	54.00603136991097
a	4704.18	4704.26	119.24202105101058	119.19055002260198	69.07413607378601	67.62556375175325
a	4293.707	4293.957	230.47070255927926	218.56270720775396	69.30719338311666	68.28970536351679
a	4699.758	4699.907999999999	136.50766382884885	131.27193358306457	65.2827873553473	62.678186243024136
a	4691.656	4691.726	95.22258120664283	95.81193363712755	56.210789779917995	55.99610605456486
a	4130.021	4130.111	--undefined--	105.00873174856301	37.02995620528005	48.60817927652711
a	4609.66	4609.75	151.64677535405892	152.73869087484778	62.91571993388991	61.37883314561873
a	4890.17	4890.24	--undefined--	--undefined--	55.86931838708031	54.33231104145713
a	4780.755999999999	4780.826	116.79123742532262	117.57662367015843	58.038661905118154	57.101744351157066
a	4767.417	4767.497	112.46838401534555	113.34713800789801	60.400195241225134	59.557558159492444
a	4767.077	4767.167	107.26127308328428	107.00237163949943	64.9256633953628	64.30877978797977
a	4779.215	4779.315	115.30926298610544	118.72357112513112	53.96101739556375	56.36983089368411
a	4766.437	4766.5070000000005	111.60318860491387	111.99662709928808	57.75787188581305	57.886456376228864
a	4941.685	4941.755	152.47023967615218	150.61851316778967	73.01963159893636	72.41191546810977
