son	temps_debut	temps_fin	f0_milieuV	f0_mean	intensite_milieuV	intensite_mean
a	1488.807	1488.9370000000001	285.97357206650895	277.467997913847	65.70795106649273	66.03891125945171
a	1477.691	1477.8110000000001	286.99383553543896	303.77680530675894	63.11260069365278	61.844733691897424
a	1490.0770000000002	1490.1570000000002	208.15915788104547	206.35840364635325	60.412227562826395	60.08361170282822
a	1490.6370000000002	1490.707	214.3813013877865	216.08580607889985	60.85562372357585	59.31787297262329
a	1484.3329999999999	1484.4229999999998	227.88595649094864	227.5348538780966	74.4383165800052	72.46243147199729
a	1474.101	1474.171	267.73545620110093	267.26046733947476	64.9632763493887	64.2556474037189
a	1476.911	1477.011	266.7433810848812	270.7436209904833	65.8986048256444	64.19904049366234
a	1524.4979999999998	1524.588	214.51144364756692	215.93224825751668	71.78972875384359	70.35439265777299
a	1537.9289999999999	1538.009	204.34396358242637	214.19340548431308	59.97242662032275	59.79587798747238
a	1498.616	1498.7060000000001	261.7587631493863	262.6522107804151	65.87149159350584	64.53412966255502
a	1516.912	1516.9820000000002	269.88444861177226	274.53208303673006	38.935947295708345	38.79088994451121
a	1503.4560000000001	1503.526	114.69397596018834	124.09270556565646	52.45877386877441	52.33776782357018
a	1522.868	1522.9679999999998	276.65465301989246	270.9427084728817	64.45905692314227	63.46487039929901
a	1531.297	1531.3670000000002	234.07919181357218	235.134501408787	70.14694267542255	70.07964388581857
a	1509.8329999999999	1509.9129999999998	195.0256751166062	196.04555617864833	63.48241480238771	63.11860882421763
a	1511.243	1511.3329999999999	145.63596067878018	145.9988533067927	53.74587693610472	53.43848783325514
a	1509.293	1509.3729999999998	209.86504565537032	206.68973024496296	60.641473293912384	59.75437089375831
a	1505.721	1505.8110000000001	272.99664631635176	274.0946276251293	68.2197576847655	67.08834960195232
a	1552.195	1552.265	219.89278425165386	220.32195836467173	64.2421018764269	63.75228853393173
a	1543.9289999999999	1543.999	220.02901308415952	221.03581063647945	61.103808160624475	60.82559733766174
a	1575.6689999999999	1575.819	272.5891876928318	275.1935010733336	67.57453047186101	67.85836652116377
a	1590.629	1590.719	248.49095708029103	214.72303421362264	51.710642772235786	51.17078967151072
a	1577.559	1577.629	314.05741208088233	313.07475313031915	65.72329699993222	64.91554929091986
a	1551.885	1551.985	231.3313942489522	230.76683115828993	68.67579019127142	68.1846549045977
a	1591.4389999999999	1591.509	217.98891070634306	219.0037942717536	59.83352704005014	59.645645077414656
a	1573.4089999999999	1573.479	--undefined--	--undefined--	34.81139829919083	34.248670601610655
a	1544.259	1544.359	137.50133596823008	140.46375325120815	56.221223375447224	56.21668120621203
a	1559.0720000000001	1559.142	231.0513938852983	231.6217888987629	66.71240239668464	65.0112318307107
a	1541.839	1542.039	238.56747924603	234.2603698145799	61.02093854121557	60.876329831216154
a	1544.519	1544.609	109.07663502223173	134.2960923655066	54.44841541908999	52.93369464278359
a	1578.249	1578.349	295.67385418862057	294.5901304472764	69.46194383038166	68.07938706916897
a	1549.683	1549.753	252.699009074522	255.65424772065884	60.94564938159046	60.01170708746412
a	1574.099	1574.1689999999999	251.51298103701328	249.98068012711718	67.75467530717428	67.494007329617
a	1548.233	1548.3029999999999	335.26791224156483	338.2455250990824	67.00276058938057	65.61885872158668
a	1579.4389999999999	1579.519	269.01870352754185	266.94702763991756	66.35477567570462	65.57060490373216
a	1593.7979999999998	1593.888	202.6297022473484	200.66897241424383	61.70847502925059	61.07439066782518
a	1605.315	1605.385	136.45167662066885	138.10511213747685	61.1787844624439	58.94497929751392
a	1650.619	1650.849	229.25396896027075	231.29445298692215	70.4818352612698	68.27267902724742
a	1596.2779999999998	1596.348	270.6755026846244	272.3112238382558	61.61546866958378	61.44019088437801
a	1606.595	1606.695	240.44126756454398	241.91800080019843	55.461818561559284	54.42197617672238
a	1623.256	1623.396	234.22010274725852	240.75815050596833	54.54584090954054	53.696518104742424
a	1597.848	1597.9379999999999	290.90824912849155	288.3752798703834	50.463016431892115	50.36250195099676
a	1598.138	1598.2379999999998	252.55819931414575	251.91862922008826	51.943198487055014	52.60978025312162
a	1613.715	1613.805	254.15362805057026	258.1245326539187	35.57669830938073	33.839398549866544
a	1599.385	1599.485	228.20657109683734	233.5487618996411	59.566140894943885	59.24984867722991
a	1632.0970000000002	1632.1670000000001	233.680662132287	236.32803035324199	54.695585926982524	54.1007468624763
a	1603.875	1603.945	113.06131587398166	112.19518656823819	59.02859203585049	58.41631547090291
a	1622.986	1623.086	230.22110229190793	234.3818805331427	56.166040415506444	55.85466500709818
a	1621.125	1621.205	--undefined--	--undefined--	26.39675067339566	25.70003514432107
a	1600.025	1600.145	247.30942344010236	252.8494049809413	69.35344132127383	69.4298992443513
a	1615.165	1615.235	235.0087633663921	239.20853704819555	37.91186281692087	34.951283596779724
a	1612.861	1612.971	249.73173273978338	250.70654075014164	62.50830658984982	62.504122433109195
a	1614.685	1614.755	341.9890602819062	344.66869178710033	40.217820758929854	37.587111791260995
a	1650.1589999999999	1650.299	255.57024489043232	258.02894774131	74.9500860844361	74.40555378972799
a	1652.1589999999999	1652.279	239.8526558381952	242.7457403994848	75.29888994585367	74.61015908652747
A	1527.293	1527.3429999999998	225.52428801251799	225.91832883082415	58.071579420802266	56.20809970148828
A	1539.289	1539.339	236.7083665549342	236.63439253198024	58.95323413690222	58.60067224519351
A	1534.717	1534.767	200.01716799730337	200.29157601865055	59.37360396023274	58.83079643821063
A	1539.619	1539.7089999999998	248.06278771463045	240.1511013180584	58.51255856983275	55.68412798122977
A	1533.247	1533.317	203.95825322777844	201.20740868204936	62.20267560307881	60.832438192418635
A	1531.8270000000002	1531.8770000000002	216.35772094882853	215.78275536175343	59.56332304698929	59.52070661033983
A	1534.037	1534.0770000000002	210.69375746297928	214.38790840910679	58.327813975740455	57.15606044164567
