son	temps_debut	temps_fin	f0_milieuV	f0_mean	intensite_milieuV	intensite_mean
a	2536.627	2536.717	127.6225591682666	128.94603964094043	75.21156335850225	74.44076588921172
a	2621.9309999999996	2622.0009999999997	108.02079035436691	108.96507222131596	74.46303184793192	73.48722463280618
a	2621.711	2621.801	115.98153531041076	115.84488857376236	74.68968921077577	73.59164361014702
a	2434.889	2434.979	100.84878151581647	101.70792735588702	69.68359056388094	69.14108704582466
a	2530.335	2530.405	90.192953657796	90.40230015040686	59.90335208324535	59.1062025983894
a	2632.636	2632.7859999999996	141.53174030867245	136.29141479802527	84.1585327001679	83.26102368561564
a	2593.897	2593.967	117.75813790577719	118.70190416569518	74.91495493829252	74.52873660316723
a	2547.893	2548.073	122.01040069472928	121.52837223729966	62.04655484171776	61.4940986189943
a	2527.784	2527.854	97.86005443890129	98.6295453358896	64.07812296538886	63.925888999663776
a	2537.637	2537.717	103.52129296342784	103.13157549156709	66.08388294174995	65.22066673860691
a	2579.476	2579.5460000000003	97.82844894719574	97.9427942976695	65.70831860762164	66.25648379574392
a	2436.149	2436.229	94.96634763811166	94.97997905378473	49.629987053839784	50.91949449639244
a	2433.8289999999997	2433.899	96.71261832896484	96.17797271264013	71.14143394675502	69.96701901670717
a	2546.893	2547.053	119.75538944250363	123.24402021115891	55.802690337849114	59.391808532689495
a	2536.357	2536.427	140.47603794360225	140.8053771897607	75.28514361684934	72.87465648028359
a	2427.715	2427.795	114.26048379337975	107.9735192963831	50.3044190046484	49.74418279083481
a	2426.165	2426.245	113.71472601806819	113.14398291579398	58.975598609669056	59.69138728653186
a	2628.092	2628.1820000000002	108.71086035774157	109.61855513194003	72.2871423441604	71.37118874885617
a	2480.404	2480.494	101.95753537344301	102.99207257880094	60.89194933131925	60.290289310050284
a	2901.0959999999995	2901.216	99.46849605678176	101.65694943742538	72.51889597759372	71.54711660459135
a	2771.0679999999998	2771.178	123.67130061858504	124.90105094855184	47.409522510019734	47.82947998030285
a	2905.386	2905.466	163.24035846928962	160.24320477832376	74.31416150418502	72.45085239547463
a	2696.5879999999997	2696.6679999999997	99.27983043307647	99.84861936321957	67.37925148999402	67.71890307381761
a	2656.486	2656.586	115.28205743409225	115.61072946812604	75.05174250187312	74.77608924983828
a	2669.3779999999997	2669.448	90.98146111304865	92.01240015112157	51.18138826719125	50.6831714293532
a	2950.5009999999997	2950.571	156.8309162132327	159.98605729260743	73.53206809222955	72.90224552190114
a	2691.651	2691.7309999999998	106.31895052825291	106.21677158758834	67.74871342008119	67.95405903649183
a	2856.562	2856.692	200.094489382609	185.95494888131918	65.82729365224026	64.70787965097306
a	2947.6009999999997	2947.7309999999998	182.23536945016906	174.25528724526706	72.67905129923301	72.82933372258566
a	2682.612	2682.702	102.33525001402114	104.40979264261904	64.58569659402781	64.60043314509134
a	2696.278	2696.3779999999997	133.987866213841	132.08298706119353	70.36051763374937	69.2476518722917
a	2945.725	2945.805	91.3711231555589	91.64790768420676	63.72529066683998	63.220021592939716
a	2691.1609999999996	2691.261	118.1980165217385	119.19310306951762	73.7820558618053	73.15104545732767
a	2765.994	2766.1440000000002	182.0389997323847	183.33003776545226	69.24110883663941	68.84657340644351
a	2690.901	2690.991	--undefined--	114.65113287510448	69.83968750625313	70.87759065284094
a	2871.355	2871.485	98.0121007499964	99.10738765557073	62.85363776159294	62.077828245403566
a	2904.7059999999997	2904.7859999999996	83.73412958007121	88.63477152363758	63.26731729320011	62.20373536236414
a	2944.925	2945.105	217.8877256435189	179.80295875838803	69.75557751075584	69.68049075960492
a	2762.63	2762.74	110.25458036288346	107.24040765482943	71.03249880318951	69.93898438760323
a	2765.8940000000002	2765.9640000000004	189.17807065598663	189.46129207094918	72.69447874539777	72.27321307548327
a	2948.191	2948.301	116.91312213317131	118.03155931976758	72.53658532604119	71.66710347293977
a	2698.165	2698.245	101.05711279717957	103.4946234536235	64.40075654757251	64.13191892412618
a	2939.0209999999997	2939.131	140.80881270118968	137.2901930693637	73.07135194692852	72.80226851194814
a	2966.422	2966.512	202.9891724955596	196.4729049370264	69.3864002244275	69.15809484106399
a	2955.342	2955.472	176.7532914638704	173.6014651036093	69.36618286769117	68.55434642878022
a	2961.6240000000003	2961.6940000000004	150.06582145432023	149.81268936307586	73.90187784023779	72.69224006329816
a	2959.188	2959.298	193.76490929188134	193.03423485204303	62.8202242759395	65.66032671329847
a	2956.532	2956.632	126.09738095351948	128.93854390119057	75.5080255948792	73.32089410181834
a	2969.672	2969.802	171.06810686553223	165.3792083488414	75.3863762254882	76.05047475553955
a	2962.802	2962.8920000000003	167.91065526189215	165.8578483758313	82.57879129124858	80.36339012740883
a	2969.522	2969.592	115.17682353517537	115.92682798104249	81.05821414706989	80.67484523717386
a	2956.252	2956.322	123.13785169816985	125.09256956069339	74.65465506998895	73.34644100383657
a	2954.3720000000003	2954.442	92.20859364396333	93.32901981474653	69.03255534759494	68.00124687747238
a	2972.047	2972.117	130.7262677214053	127.58791247679186	64.1346692484717	63.07320480382431
a	2962.972	2963.052	133.25453990516343	134.71871579370594	77.1120888668022	75.41581814096696
A	1700.164	1700.264	129.82730454466352	144.33841677279747	63.54498964813517	64.85288408419933
A	1697.308	1697.388	210.29729871818844	202.52560119020117	69.9968571711744	69.66416871557149
A	1694.9379999999999	1695.0279999999998	127.568761883474	127.79650843053628	74.76705352784248	74.94257948530884
A	1698.7279999999998	1698.848	202.77406726874565	200.18118079558963	67.36119770629476	67.18000113400983
A	1718.56	1718.6	169.25959024333164	169.45902576234835	65.25040155608141	65.13023217975841
A	1737.479	1737.589	168.7708704467301	169.6086464806713	59.23557432398839	56.99194480652708
A	2005.233	2005.293	124.34332977262765	125.53091251258806	68.60297751416609	67.96345592818756
A	2001.0870000000002	2001.207	98.10660175335887	98.30235354791468	42.96598271086476	43.90698320055327
A	1775.2379999999998	1775.328	206.47963434096474	202.43460901199649	68.00845285209063	66.68242317368103
A	2000.227	2000.297	95.82603148692058	95.71823735507826	57.46995363473671	57.71925403957788
A	1740.017	1740.1470000000002	100.05141449204868	97.88424386299032	57.42241605742608	55.6210188672381
A	2031.229	2031.4089999999999	131.4913681714501	128.8672610306336	61.32323692044878	60.9189575886066
A	1921.27	1921.37	87.7676130781979	86.83789769876724	53.26867941950698	52.136368205956046
A	1914.888	1914.9979999999998	105.68102692334573	106.30799312458038	60.50253831437183	60.32055421536338
A	1899.024	1899.094	110.77398452820262	110.1505917386635	64.62236183350784	63.281491704262166
A	1781.874	1781.964	118.72057569540276	118.65872778960161	69.07275255093057	68.03153083546805
A	1800.1960000000001	1800.306	98.0363644752296	98.63469235677991	51.392144827167584	51.30941505288046
A	1778.23	1778.31	139.55438631709526	142.7991022098974	67.97485891509668	66.95123544848774
A	1764.5829999999999	1764.693	133.6802565540501	133.34948881875317	72.30950761802097	70.73176018269054
A	1800.396	1800.4260000000002	--undefined--	--undefined--	48.908195191824916	47.84230259580291
A	1774.9979999999998	1775.068	123.77438037071694	122.8131464482867	65.01852781589228	63.72710105561461
A	2054.976	2055.006	101.61473256748191	101.64788111157556	50.19656766282459	50.163603454950206
A	1781.5739999999998	1781.744	113.95564821266275	115.92893533942248	66.244101478969	65.97989186092298
A	2307.436	2307.526	87.86100680532147	89.77873796317749	57.53161835999122	56.88272624063348
A	2144.7039999999997	2144.734	--undefined--	--undefined--	51.506081572261444	50.455497539221234
A	2137.402	2137.452	96.0169844956504	96.73601116813872	58.70217800287422	58.45442444306343
A	2342.089	2342.149	122.10662987257267	121.60179602867667	61.85366616282072	61.103792406167194
A	2315.888	2315.968	139.69838864843385	140.45253212779107	67.80294389296296	67.5226499663282
A	2128.58	2128.69	93.48572945058746	96.56134142829437	62.737038803060585	64.50094808721738
A	2325.39	2325.47	149.9575497760474	146.65433664752192	72.31598866670929	70.94130438570001
A	2326.78	2326.86	99.92736239231545	99.87445521728945	63.17799749183969	62.417873354400875
A	2125.114	2125.214	156.77315002205552	158.40472697912162	76.46150445341988	76.56420743470379
A	2121.4539999999997	2121.544	160.03260031251693	165.214278819867	76.70920961193589	76.53176957493987
A	2326.05	2326.12	129.91370033650622	129.837094586791	70.6152144950961	70.31644922354234
A	2330.871	2330.931	100.38535281591822	100.34712618236597	63.04191119770811	62.43883459766771
A	2316.408	2316.488	111.63954803215421	111.41610721611461	67.33978745511881	66.1085290252407
A	2311.551	2311.631	104.54883355236079	104.66995568066709	67.06957117111998	66.4798248927447
A	2300.435	2300.495	89.99907540512791	89.75302125007725	56.31183635844958	56.30104948615699
A	2123.074	2123.124	117.60783438901474	117.13850953968526	67.60740790078525	67.5734651924854
A	2272.001	2272.051	86.44981854983878	88.25336494130276	54.13840641584232	53.73922757186152
A	2504.4179999999997	2504.508	85.32138776087574	83.77440194003785	49.65662458723816	51.81897644208575
A	2633.066	2633.1659999999997	144.75013232169678	145.07833597120566	84.6350301726317	82.00064809974253
A	2359.498	2359.6679999999997	96.10438600504459	100.30338724187287	55.29152371414198	56.08418145141894
A	2382.746	2382.8160000000003	126.71006386836645	127.80024229238116	74.88231716612643	74.11190620445296
A	2460.032	2460.0820000000003	100.89770831152119	102.13001554288323	57.58378504148317	56.6051456127563
A	2345.0660000000003	2345.126	115.41874163074816	116.7861511371253	58.29666566019365	56.97685653391926
A	2401.237	2401.3070000000002	93.99159779324242	94.49296089571956	57.426984026482295	56.945522587776736
A	2628.6220000000003	2628.702	110.31809984265651	109.46175714574827	67.92321415716339	67.20246935284492
A	2524.052	2524.282	92.13349869685035	91.25507925132716	62.29667512106793	62.24582729728789
A	2682.172	2682.322	110.10219452497235	109.93719271228389	62.64202220889528	63.11304589692344
A	2650.138	2650.278	104.52143728033568	103.96175762659651	57.52599121649833	55.37122075310058
A	2662.5809999999997	2662.671	97.59771429078981	96.98231372803706	46.94124972195799	46.60556938127024
A	2681.492	2681.6420000000003	113.50145095768958	111.63969342268419	63.68282056585596	63.15760862387644
A	2687.2140000000004	2687.324	127.17214412250593	126.34308413615662	69.62641692756962	68.10091502299511
A	2667.248	2667.3979999999997	97.62222322762584	99.18867240374598	47.950943519143784	48.57562301236487
