son	temps_debut	temps_fin	f0_milieuV	f0_mean	intensite_milieuV	intensite_mean
A	1364.2513333333334	1364.2646666666667	210.9596443516858	210.87259926374767	61.35252077740083	61.5277876500305
A	1360.6023333333333	1360.6256666666666	313.5007702929755	314.04717558085525	59.157158404442875	58.94569649435561
A	1364.2646666666667	1364.2779999999998	198.12208901039415	198.21771284648815	65.31260193397779	65.38796634011645
A	1360.6256666666666	1360.649	302.9926359301877	303.3383396238725	57.66897303422581	57.453453360678246
A	1360.579	1360.6023333333333	330.61304790582057	330.96673101154056	55.31754718451417	55.63405763077913
A	1364.2379999999998	1364.2513333333334	217.55173611328306	217.36898400078914	52.27059518545379	54.140016470047165
A	1379.875	1379.898333333333	233.2128337699833	232.72775081915674	49.22468562089077	49.243440567801066
A	1373.364	1373.394	201.3443468830122	199.67679221301898	54.83242407052214	54.30512641133522
A	1373.924	1373.954	326.73523215515314	326.4726545648166	60.51803253137557	60.03445925532696
A	1373.424	1373.454	192.16067179976525	191.9117222081244	56.14691923061553	56.24399367144542
A	1379.9216666666666	1379.945	190.91385495811616	191.78517955787453	48.77993406993964	48.75708685035411
A	1373.394	1373.424	190.01293766654956	190.66192713538757	56.958985630114086	56.73583890357696
A	1379.635	1379.645	--undefined--	--undefined--	38.428048849591434	38.54293983073224
A	1379.898333333333	1379.9216666666666	214.41326723530682	214.06150204662353	49.95336352727122	49.848051335731
A	1367.7306666666666	1367.784	169.842976457484	170.1197311452792	53.680751460453706	53.81535029350538
A	1379.625	1379.635	--undefined--	--undefined--	37.077602196296105	37.16111685259359
A	1379.645	1379.655	--undefined--	--undefined--	40.679212388006704	41.118463548431514
A	1367.624	1367.6773333333333	198.68866066362258	195.9909915516417	56.281441133614585	55.43531297904882
A	1403.74	1403.763333333333	226.48410685418222	226.95065281903885	53.20628666104717	53.017861822420016
A	1374.5806666666665	1374.6139999999998	228.27768827998065	226.8776078037409	56.510728275576525	58.30503175468661
A	1373.894	1373.924	329.2287645329283	328.54512880231283	59.934003557902045	59.91749440023437
A	1374.514	1374.5473333333332	222.78571659342902	223.59779485734285	60.26075508942669	60.38538827738393
A	1374.5473333333332	1374.5806666666665	214.35883865227046	215.54302185604152	63.983710012671736	63.578259539836885
A	1403.763333333333	1403.7866666666666	214.2023766952038	214.75635621311991	55.056984058127256	54.84839379957927
A	1373.864	1373.894	313.60016926152053	312.4293010199788	55.19413239729093	55.71555876357111
A	1367.6773333333333	1367.7306666666666	178.56708435456397	178.27006134128686	56.28879144005133	56.27833098558816
A	1416.744	1416.774	--undefined--	--undefined--	47.14400172289231	47.71975490089418
A	1407.465	1407.485	169.29895392428006	168.94510063248575	51.23481569275218	50.87141242531628
A	1408.0216666666665	1408.0883333333331	174.32961164234746	174.36401230540346	48.342074418180786	48.425576647897756
A	1403.7866666666666	1403.81	206.50914586272452	206.95708649353998	52.51338031385165	52.99841924720266
A	1429.743	1429.793	216.87535479094475	216.16098909448317	53.98340650311759	53.56415131660481
A	1466.467666666667	1466.504333333333	185.83925492480725	185.6735936479798	57.356141959229035	57.34025182537554
A	1453.019	1453.049	263.80271602204465	263.3567536285413	61.830784122532386	61.992619244246534
A	1452.989	1453.019	266.1223703375993	266.2636688818722	66.30898022330939	65.88214867807336
A	1407.955	1408.0216666666665	177.8577964207211	176.29287713745956	49.059501285352894	48.53542286413451
A	1429.6429999999998	1429.693	206.91348218425074	206.21873586980195	57.288002279767426	57.09296190586812
A	1430.5963333333332	1430.6596666666665	238.24690782634573	238.12036216277326	54.61074863804345	55.189699012191575
A	1430.533	1430.5963333333332	221.87946449553408	222.88998257305445	57.579362861198945	56.68314999881772
A	1429.693	1429.743	208.83107787777695	210.14641314782082	55.705917084043755	56.33050751117702
A	1407.505	1407.525	157.33729736336312	157.27253322050578	48.10016284021313	48.08654050872118
A	1416.714	1416.744	84.38749274676262	82.82668605630771	52.55656764710406	52.47439373712404
A	1452.9589999999998	1452.989	269.1137373587711	269.27705546999226	61.506061606368945	62.33333733304305
A	1408.0883333333331	1408.1549999999993	175.59277764846624	177.9647139474142	46.74401379601796	47.02641975461341
A	1407.485	1407.505	159.85931583187448	160.1657919139887	49.88745943858102	49.93211454443028
A	1416.684	1416.714	76.39228967667205	76.55358515368667	53.85972204127773	53.916529148345134
A	1430.6596666666665	1430.7229999999995	246.646480326635	244.38914091305253	55.9636573996734	54.84339660981608
A	1466.431	1466.467666666667	187.99741293214797	187.84897928318335	58.355578484677785	58.157989843381294
A	1488.2326666666665	1488.2659999999996	235.1328232559747	235.24637050714892	65.53489252937278	65.69643475319033
A	1476.052666666667	1476.0793333333334	243.58957062897554	243.10802398872679	63.96695184675354	63.84089809248867
A	1476.0793333333334	1476.106	241.62349760680735	241.15995839653263	64.51064292707453	64.16021746927065
A	1488.1993333333332	1488.2326666666665	226.97031479421494	227.13252737132393	68.28173965796138	68.16961688646883
A	1466.504333333333	1466.5410000000002	184.54441830648793	184.42436980279473	54.62000441512704	54.52872426173755
A	1494.5856666666666	1494.602333333333	322.6004960340317	322.48386982477984	73.32366370790147	72.85679535609846
A	1496.389	1496.409	271.55448538884	271.32735187278246	53.11823810686993	53.473264615804666
A	1494.569	1494.5856666666666	--undefined--	323.8743970233725	67.9234946154062	68.70483952627757
A	1496.822333333333	1496.8556666666666	150.32754897913244	148.80532361795605	53.9676939975212	53.11344863398454
A	1489.1626666666666	1489.2060000000001	372.96149870044053	366.72677955694996	60.99550047760106	60.45152464851998
A	1489.119333333333	1489.1626666666666	262.246369079621	267.1847052837906	68.2345694673597	68.33787298980252
A	1467.707666666667	1467.731	303.8517102924691	302.06371957715515	54.65950726536785	55.30324589556534
A	1476.026	1476.052666666667	249.24105311914323	250.67582517958252	59.68085504106967	59.7354700924268
A	1467.6843333333334	1467.707666666667	281.6301664385725	282.8836615217232	61.006762727498796	60.49665644008606
A	1489.076	1489.119333333333	229.67699115097255	230.14839407671755	70.30271057842971	69.70765954425731
A	1467.661	1467.6843333333334	275.9368080584081	274.0058399475511	54.864340245166474	56.323435040171944
A	1496.789	1496.822333333333	214.66296597794786	215.94515900011734	37.04946209470296	39.3052373911233
A	1496.369	1496.389	273.93974101823574	273.75158119353233	58.01109232734324	57.56433297839187
A	1494.602333333333	1494.619	317.5512471558738	317.6455526047542	71.19251435618378	71.27408638723662
A	1496.349	1496.369	267.2006129537759	266.87358600895703	55.64883537749911	56.072614252712114
A	1488.1660000000002	1488.1993333333332	224.26863507545286	223.0871375665672	66.71132097657619	66.61197294102279
A	1496.8556666666666	1496.889	88.07696407294472	87.87599892198593	54.16466751459656	54.038896146298086
A	1507.622	1507.638666666667	323.63942358137945	323.53808232505264	69.89652470798409	70.62777214863087
A	1526.919	1526.9789999999996	289.40003709234094	288.47589305421866	57.776587929171676	57.02771006125816
A	1509.5620000000001	1509.582	341.6020427271888	341.5522330780508	61.089108097746035	60.961506141664515
A	1526.719	1526.729	--undefined--	--undefined--	46.082350600794754	46.458362866112594
A	1526.859	1526.919	282.2253292610099	288.25266324628234	58.577830607347714	57.764850403920434
A	1509.5420000000001	1509.5620000000001	333.5607653234954	333.824627694416	63.662524594690396	63.542650458405454
A	1534.935	1534.968333333333	202.09099225613824	200.85211473975477	53.19658326212399	52.98346377567008
