son	temps_debut	temps_fin	f0_milieuV	f0_mean	intensite_milieuV	intensite_mean
A	1527.3263333333332	1527.3429999999996	216.9919392488539	217.16057095470882	57.30429092381509	57.46370632645916
A	1531.8436666666666	1531.860333333333	216.27575902950602	216.24272390827582	59.56332304699997	59.56256838609646
A	1523.668	1523.6913333333332	259.0627726467952	255.93830975922063	63.929021085708285	64.43432061168211
A	1533.2703333333334	1533.293666666667	204.87413994096366	203.2003830942506	62.20238361012374	61.97650050467157
A	1523.6913333333332	1523.7146666666665	244.15410459563049	244.39147744725483	67.0046687212813	66.70815826249717
A	1534.037	1534.0503333333334	223.8902522219483	223.81638317696812	55.27972607555614	55.353299210957914
A	1531.8270000000002	1531.8436666666666	215.91681636071618	215.96233703296897	59.96122190257506	59.86594106766798
A	1533.293666666667	1533.317	199.06179551883588	198.94352077041398	59.29828507973331	59.723606095823676
A	1533.247	1533.2703333333334	--undefined--	202.108755531966	60.62125372299799	60.48608230643672
A	1531.860333333333	1531.8770000000002	215.16509652963123	215.11323910741473	59.038307114642876	59.09739031222966
A	1527.293	1527.3096666666665	--undefined--	234.26301905744296	48.86530252430434	51.05229230467182
A	1523.7146666666665	1523.7379999999996	232.21919536502836	232.41507878530743	63.06794696102149	62.91393574361834
A	1527.3096666666665	1527.3263333333332	225.72168151858276	225.9120167192404	58.07157942079074	57.55460273654525
A	1539.649	1539.679	248.06278771428512	249.55823569545936	58.49951466024429	57.57639653108139
A	1539.289	1539.3056666666666	234.37454876084226	234.2859374344336	58.27510083623179	58.35194214247056
A	1534.063666666667	1534.0770000000002	207.67175795311343	207.6549928275199	57.707638246488145	57.56784080266048
A	1539.9489999999998	1539.9623333333334	228.56980794212618	228.53919936684875	61.3467436135183	61.2456617544504
A	1539.679	1539.7089999999996	225.34051915486688	225.84526311549888	56.86938542072522	57.216455794548295
A	1539.322333333333	1539.339	239.0143900079333	238.93054425774375	58.558349862669424	58.56110822092702
A	1534.0503333333334	1534.063666666667	211.81471796156512	211.92490719601585	58.31099458681924	58.08204109380729
A	1534.717	1534.733666666667	206.23183428115203	206.39148252396183	60.408772122332735	60.208990326611655
A	1539.975666666667	1539.989	221.74512132360917	221.7590982076359	60.421393241152394	60.40654121881799
A	1534.7503333333334	1534.767	194.47313557224012	194.53122032202546	55.766608682544295	55.917971422366946
A	1539.3056666666666	1539.322333333333	236.7829641901795	236.78284183626462	58.953234136902154	58.87761524766687
A	1539.9623333333334	1539.975666666667	224.68629836814264	224.69899826481415	60.979196762513396	60.97816255421389
A	1534.733666666667	1534.7503333333334	199.9034399040147	199.90716044702268	59.3736039602433	59.30284783247064
A	1539.619	1539.649	--undefined--	269.54332427040845	31.247360692055423	40.233413065254126
A	1570.8283333333334	1570.851666666667	291.1906969794073	291.0843529078551	64.99800886654299	64.56011293011547
A	1568.3929999999998	1568.429666666667	273.7593865133364	272.6101563324699	39.28849197068875	38.53953567720075
A	1570.805	1570.8283333333334	308.25564074114084	303.2165124774917	57.532312829463535	59.70606749600904
A	1568.429666666667	1568.466333333333	251.82598542149833	250.74897207324767	30.378623651375765	31.153375604612073
A	1570.851666666667	1570.875	282.92802812797333	284.40730816667025	61.927580947903024	62.61716978861944
A	1568.466333333333	1568.503	227.6248130965539	228.5622613113049	26.161990130683254	26.39938716474736
A	1571.388333333333	1571.4216666666666	258.45117043212207	259.00718961128456	63.35550349139384	63.12130057191787
A	1571.355	1571.388333333333	282.6148625340646	278.0852544986917	54.40798475565224	56.871532119382906
A	1571.4216666666666	1571.455	253.73499733731643	252.7671534378769	62.34835429591542	62.527664469349816
A	1582.5706666666665	1582.5939999999996	265.69958225333033	264.2152837262819	64.29893679227698	65.11981361072684
A	1574.359	1574.379	277.2757521232527	276.7691608487071	55.6970971966185	57.137966050704605
A	1582.5473333333332	1582.5706666666665	267.76326793650173	267.3329548367652	69.5674978290185	69.26883968847322
A	1574.399	1574.419	255.15757595951766	255.07200600628363	63.35481736065095	63.26817318415844
A	1574.379	1574.399	256.78410145914603	257.266222341182	63.086491217920724	62.85774738764808
A	1588.1256666666666	1588.139	256.52710272516464	256.4495497569437	66.0850081371045	66.274397517957
A	1588.112333333333	1588.1256666666666	261.6291654944089	261.6238605229857	69.5591465519957	69.44489822755033
A	1582.524	1582.5473333333332	266.0962713826591	266.72407601222864	68.04470230209148	68.12021922402893
A	1588.099	1588.112333333333	266.00774100809366	266.0042188416433	70.57128689571317	70.5170522813064
A	1574.9589999999998	1574.979	266.48931574501813	266.5891736989357	63.38080738956203	63.34219845246308
A	1574.9189999999999	1574.9389999999999	297.8085436925299	296.9779856692426	58.97112839880141	59.28709937856766
A	1574.9389999999999	1574.9589999999998	274.6121548973541	275.2577232318737	62.30526328201972	62.39562404221104
A	1592.1556666666665	1592.1923333333332	231.15777764868895	233.00876940874318	58.55135917155321	58.220074448743055
